Fy17,Fy18,Fy19,Fy20,Fy21,Name,Name (largecap alpha.csv),Sub-Sector,Ticker,Ticker (largecap alpha.csv),5y Cagr,Alpha,Beta,Close Price,Market Cap,No. of Shareholders,PE Ratio,Pledged Promoter Holdings,Promoter Holding Change – 3M,Total Revenue
,,,,,IOL Chemicals and Pharmaceuticals Ltd,IOL Chemicals and Pharmaceuticals Ltd,Commodity Chemicals,IOLCP,IOLCP,29.56531611,49.37050614,1.511382447,561.2,3294.552772,127893,7.410816925,0,0,1991.28
,,,,,Dalmia Bharat Sugar and Industries Ltd,Dalmia Bharat Sugar and Industries Ltd,Sugar,DALMIASUG,DALMIASUG,28.93029641,55.6780712,1.364768457,406.5,3290.182667,25726,12.17053587,0,0,2739.69
,,,,,Kirloskar Ferrous Industries Ltd,Kirloskar Ferrous Industries Ltd,Iron & Steel,KIRLFER,KIRLFER,,,,237.65,3289.69938,64326,10.88907808,0,-0.150710544,2040.91
,,,,,Hawkins Cookers Ltd,Hawkins Cookers Ltd,,HAWKINCOOK,HAWKINCOOK,16.28797205,17.98641852,0.795524128,6196.85,3276.779638,15220,40.62962974,0,0,775.78
,,,,,Responsive Industries Ltd,Responsive Industries Ltd,Building Products - Granite,RESPONIND,RESPONIND,9.524920637,17.55729445,0.88330634,122.3,3264.342321,6124,80.98095562,0,-0.557860304,763.28
,,,,,Transport Corporation of India Ltd,Transport Corporation of India Ltd,Logistics,TCI,TCI,16.94557025,6.045059888,0.97779411,418.55,3234.80553,29051,21.98454214,0,-0.089536165,2847.99
,,,,,Ge T&D India Ltd,Ge T&D India Ltd,Heavy Electrical Equipments,GET&D,GET&D,-17.77159631,-39.30976097,1.589130484,126.05,3227.466574,43290,53.50574558,0,0,3521.59
,,,,,Nirlon Ltd,Nirlon Ltd,,NIRLON,NIRLON,10.79281411,13.25300414,0.430413306,357.5,3221.71993,34326,25.28624072,1.486771128,-0.037728295,319.37
,,,,,Tata Metaliks Ltd,Tata Metaliks Ltd,Iron & Steel,TATAMETALI,TATAMETALI,19.05072312,6.200326446,1.393293106,1006.2,3177.32805,77965,14.45488399,0,0,1924.79
,,,,,Heranba Industries Ltd,Heranba Industries Ltd,,HERANBA,HERANBA,,,,793,3173.067933,97159,20.57627867,0,,1225.68
,,,,,PDS Multinational Fashions Ltd,PDS Multinational Fashions Ltd,Apparel & Accessories,PDSMFL,PDSMFL,49.81813172,48.69048902,0.56405168,1215.2,3165.1979,12466,37.53347445,0,0,6250.27
,,,,,Greaves Cotton Ltd,Greaves Cotton Ltd,Industrial Machinery,GREAVESCOT,GREAVESCOT,0.659677939,-8.202862333,1.414324812,136.05,3145.568446,141586,-167.4956574,0,0,1517.13
,,,,,Swan Energy Ltd,Swan Energy Ltd,Textiles,SWANENERGY,SWANENERGY,16.42571789,2.562590708,0.278911567,128.35,3135.038595,6884,-45.68695125,10.36669778,0,324.41
,,,,,Puravankara Ltd,Puravankara Ltd,Real Estate,PURVA,PURVA,22.59616577,14.74883757,1.698758364,132.1,3132.747352,33686,-670.8238441,0,0,1053.81
9.86,-24.54,-74.53,82.44,312.29,Somany Ceramics Ltd,Somany Ceramics Ltd,Building Products - Ceramics,SOMANYCERA,SOMANYCERA,3.663569073,13.57101822,1.610169705,739.15,3132.475273,18997,54.28899953,0,0,1663.23
,,,,,Tide Water Oil Co India Ltd,Tide Water Oil Co India Ltd,Commodity Chemicals,TIDEWATER,TIDEWATER,9.188430613,17.18279261,0.841014716,1790.15,3119.15736,35147,22.07003014,0,0,1296.36
,,,,,IIFL Securities Ltd,IIFL Securities Ltd,Diversified Financials,IIFLSEC,IIFLSEC,,73.8694403,,102.45,3106.03852,42690,14.0965713,0,1.666884275,867.79
,,,,,Ingersoll-Rand (India) Ltd,Ingersoll-Rand (India) Ltd,Industrial Machinery,INGERRAND,INGERRAND,12.34059248,18.05090519,0.432131128,979.75,3092.8748,28356,42.74288004,0,0,630.78
,,,,,Dishman Carbogen Amcis Ltd,Dishman Carbogen Amcis Ltd,Labs & Life Sciences Services,DCAL,DCAL,,3.881312556,1.857937457,197,3088.626972,54077,-18.70421469,0,-2.612441093,1950.48
,,,,,Maithan Alloys Ltd,Maithan Alloys Ltd,Iron & Steel,MAITHANALL,MAITHANALL,36.0266949,15.33603115,0.951389483,1060.9,3088.44434,25345,13.37915586,0,0,1643.75
,,,,,Kennametal India Ltd,Kennametal India Ltd,Industrial Machinery,KENNAMET,KENNAMET,,5.833293038,,1396.35,3068.931542,9985,41.86809744,0,0,860.6
,,,,,Bhansali Engg Polymers Ltd,Bhansali Engg Polymers Ltd,Commodity Chemicals,BEPL,BEPL,55.23499112,12.44849535,1.580214415,184.8,3065.936227,81126,9.183024013,0,0,1302.61
,,,,,Lloyds Metals And Energy Ltd,Lloyds Metals And Energy Ltd,,LLOYDSME,LLOYDSME,42.44830286,76.41150839,0.822198686,82.7,3049.307949,13026,25410.89958,0,-20.86777615,273.31
,,,,,Oriental Aromatics Ltd,Oriental Aromatics Ltd,Specialty Chemicals,OAL,OAL,,67.87895708,,905.9,3048.67745,21562,29.90658672,0,0,714.04
,,,,,Raymond Ltd,Raymond Ltd,Apparel & Accessories,RAYMOND,RAYMOND,-3.542413032,-25.68232634,1.603389238,457.45,3045.415325,169769,-10.25254284,0,0.856543886,3647.83
,,,,,Somany Home Innovation Ltd,Somany Home Innovation Ltd,Home Furnishing,SHIL,SHIL,,,,421.2,3045.124157,28693,55.5173046,0,0,1793.28
,,,,,Tinplate Company of India Ltd,Tinplate Company of India Ltd,Iron & Steel,TINPLATE,TINPLATE,27.40187302,9.505838092,1.462961924,290.5,3040.594884,76196,30.9822181,0,0,2305.94
,,,,,Healthcare Global Enterprises Ltd,Healthcare Global Enterprises Ltd,Hospitals & Diagnostic Centres,HCG,HCG,2.078066178,6.230028779,0.886874854,242,3035.087141,15065,-15.68763705,2.374111407,1.548013013,1036.17
,,,,,Action Construction Equipment Ltd,Action Construction Equipment Ltd,Heavy Machinery,ACE,ACE,40.68906422,22.35039883,2.324384842,254.65,3032.453586,61094,37.98163309,0,-3.084157059,1242.46
,,,,,Meghmani Organics Ltd,Meghmani Organics Ltd,Commodity Chemicals,MOL,MOL,,,,118.7,3018.709685,116533,16.18784687,0.004320475,,1667.88
,,,,,Seamec Ltd,Seamec Ltd,Oil & Gas - Equipment & Services,SEAMECLTD,SEAMECLTD,69.78941498,52.35598589,1.320387905,1183.9,3010.06575,10499,30.54043983,0,0.078662734,357.72
,,,,,Kirloskar Oil Engines Ltd,Kirloskar Oil Engines Ltd,Industrial Machinery,KIRLOSENG,KIRLOSENG,-9.010219238,-9.816116139,1.294669336,207,2993.506923,43631,15.35446719,0,0,3322.59
,,,,,Sharda Cropchem Ltd,Sharda Cropchem Ltd,Fertilizers & Agro Chemicals,SHARDACROP,SHARDACROP,-3.514345094,-11.58913442,1.50704731,329.8,2975.471925,32263,12.98312211,0,0,2441.55
,,,,,Techno Electric & Engineering Company Ltd,Techno Electric & Engineering Company Ltd,Construction & Engineering,TECHNOE,TECHNOE,-3.096376317,-2.378202571,0.496239101,270.1,2971.1,10195,16.34538153,0,0,956.08
,,,,,Gulf Oil Lubricants India Ltd,Gulf Oil Lubricants India Ltd,Commodity Chemicals,GULFOILLUB,GULFOILLUB,-5.202960466,-12.55710072,0.801381618,586.45,2957.307425,60115,14.77988618,0,-0.053900809,1704.27
,,,,,Ion Exchange (India) Ltd,Ion Exchange (India) Ltd,,IONEXCHANG,IONEXCHANG,53.38300341,56.43442842,0.997143099,2403.4,2954.510435,26658,20.52598607,0,0,1482.61
,,,,,National Fertilizers Ltd,National Fertilizers Ltd,Fertilizers & Agro Chemicals,NFL,NFL,12.63274053,11.35521561,1.432396719,60,2943.4704,123955,12.41551544,0,0,11939
,,,,,Alembic Ltd,Alembic Ltd,Pharmaceuticals,ALEMBICLTD,ALEMBICLTD,28.99735105,35.93603348,1.384606197,114.6,2942.719749,77201,8.583361769,0,0.469236865,83.79
,,,,,Thirumalai Chemicals Ltd,Thirumalai Chemicals Ltd,Commodity Chemicals,TIRUMALCHM,TIRUMALCHM,38.56633649,26.34735526,1.985469081,287.35,2942.122628,63156,24.99891773,0,0.043813677,1092.61
,,,,,ELANTAS Beck India Ltd,ELANTAS Beck India Ltd,,ELANTAS,ELANTAS,17.48480517,16.92858003,0.541182662,3695.35,2929.555968,7245,47.44220191,0,0,404.92
,,,,,PTC India Ltd,PTC India Ltd,Power Trading & Consultancy,PTC,PTC,4.771985995,7.235284271,1.134454733,98.6,2918.642045,180855,6.505242377,0,0,18373.66
,,,,,Meghmani Finechem Ltd,Meghmani Finechem Ltd,Specialty Chemicals,MFL,MFL,,,,701.9,2916.40559,108450,28.9211185,0.002375442,,830.79
,,,,,Hindustan Oil Exploration Company Ltd,Hindustan Oil Exploration Company Ltd,Oil & Gas - Exploration & Production,HINDOILEXP,HINDOILEXP,30.95193912,10.61317605,1.652345653,219.5,2902.740194,69768,54.34825302,0,0,140.71
,,,,,Gateway Distriparks Ltd,Gateway Distriparks Ltd,Logistics,GDL,GDL,-1.635588879,13.73574677,1.008537113,231.7,2892.447988,41612,30.65982604,0,0,1190.68
-50.12,183.49,88.43,394.22,-86.66,Shoppers Stop Ltd,Shoppers Stop Ltd,Retail - Department Stores,SHOPERSTOP,SHOPERSTOP,-5.551183143,-31.00478781,1.181928902,263.6,2884.593516,31022,-10.79725077,6.471538533,0,1973.2
501.24,1552.53,1024.07,961.94,761.34,Jaiprakash Power Ventures Ltd,Jaiprakash Power Ventures Ltd,Renewable Energy,JPPOWER,JPPOWER,-0.699369346,48.43850306,2.091752026,4.2,2878.452707,531829,10.77587866,22.71142879,-0.049471903,3594.43
,,,,,Kirloskar Brothers Ltd,Kirloskar Brothers Ltd,Industrial Machinery,KIRLOSBROS,KIRLOSBROS,15.72289083,5.021525618,1.378099336,360.7,2864.279961,22587,17.77951559,0,0,2770.27
,,,,,Neogen Chemicals Ltd,Neogen Chemicals Ltd,Specialty Chemicals,NEOGEN,NEOGEN,,60.23374173,,1226.4,2861.75608,25346,91.34235812,0,0.003471239,336.94
,,,,,DCB Bank Ltd,DCB Bank Ltd,Private Banks,DCBBANK,DCBBANK,-6.137000772,-28.45691567,1.377819291,91.8,2851.605092,197950,8.491974665,0,-0.004766866,3916.84
,,,,,Minda Corporation Ltd,Minda Corporation Ltd,Auto Parts,MINDACORP,MINDACORP,3.473198106,-16.51946112,1.265914338,120.75,2833.58939,50767,53.66646572,0,0,2405
,,,,,Subex Ltd,Subex Ltd,Software Services,SUBEXLTD,SUBEXLTD,34.69419532,80.83703535,1.322402733,51.65,2815.432601,274465,54.43605183,0,0,382.31
,,,,,Eveready Industries India Ltd,Eveready Industries India Ltd,Batteries,EVEREADY,EVEREADY,8.031020646,24.31229763,1.461354721,386.4,2808.635726,60705,-9.015908213,0.006291336,-0.147749413,1253.18
110.01,256.47,-1115.32,-6196.35,-186.92,Future Retail Ltd,Future Retail Ltd,Retail - Department Stores,FRETAIL,FRETAIL,-18.91046699,-68.50334805,1.58769304,51.75,2806.320109,412774,-0.879856564,10.01106839,-8.135367552,6560.87
,,,,,Rolex Rings Ltd,Rolex Rings Ltd,Industrial Machinery,ROLEXRINGS,ROLEXRINGS,,,,1028.05,2799.72064,180539,32.19549954,0,,619.76
,,,,,Reliance Infrastructure Ltd,Reliance Infrastructure Ltd,Power Infrastructure,RELINFRA,RELINFRA,-29.12986253,-16.6754884,2.924447042,106.15,2791.63885,841244,-5.244484032,4.688803571,-0.00225282,20284.12
,,,,,Marksans Pharma Ltd,Marksans Pharma Ltd,Pharmaceuticals,MARKSANS,MARKSANS,4.391816846,19.47385073,1.327577855,68,2783.333146,188888,11.66820301,0,0,1382.87
,,,,,IFCI Ltd,IFCI Ltd,Specialized Finance,IFCI,IFCI,-13.69337903,-2.04512729,1.216063676,13.6,2777.09075,525493,-1.430376743,0,2.786684699,2096.18
,,,,,Ashoka Buildcon Ltd,Ashoka Buildcon Ltd,Construction & Engineering,ASHOKA,ASHOKA,-3.109466453,-19.68712097,2.021510857,97.8,2745.473062,94833,9.939443423,0,0,5139.32
,,,,,Schneider Electric Infrastructure Ltd,Schneider Electric Infrastructure Ltd,Heavy Electrical Equipments,SCHNEIDER,SCHNEIDER,-4.125338564,-5.041315107,0.943596543,114.3,2732.95912,60301,-2679.371686,0,0,1315.65
,,,,,Steel Strips Wheels Ltd,Steel Strips Wheels Ltd,Auto Parts,SSWL,SSWL,23.81619517,11.31914437,1.370689308,1746.85,2726.740267,18392,55.35404521,23.28710712,0,1765.74
,,,,,Bannari Amman Sugars Ltd,Bannari Amman Sugars Ltd,Sugar,BANARISUG,BANARISUG,2.063101609,8.281370594,0.754147246,2164,2713.59108,6975,29.44754292,0,0,1570.2
,,,,,Himatsingka Seide Ltd,Himatsingka Seide Ltd,Textiles,HIMATSEIDE,HIMATSEIDE,0.091024879,-0.101499136,1.216308071,272.2,2680.003895,31440,-50.23437479,0,0,2272.53
,,,,,GTPL Hathway Ltd,GTPL Hathway Ltd,Cable & D2H,GTPL,GTPL,,43.05171161,1.087919475,232.95,2619.82647,20852,13.92709835,0,0,2530.04
,,,,,JTEKT India Ltd,JTEKT India Ltd,Auto Parts,JTEKTINDIA,JTEKTINDIA,8.795099351,-12.92600386,1.721827947,107,2615.941018,49806,222.6332782,0,0,1338.43
,,,,,Optiemus Infracom Ltd,Optiemus Infracom Ltd,Technology Hardware,OPTIEMUS,OPTIEMUS,,64.29989601,2.137318716,304.8,2615.616542,7048,27.65507022,17.85252511,0,384.24
,,,,,Ramco Industries Ltd,Ramco Industries Ltd,Cement,RAMCOIND,RAMCOIND,11.66480366,6.665900447,1.34987249,300.35,2602.925007,27244,9.337847559,2.977046968,0,1233.86
,,,,,Bengal & Assam Company Ltd,Bengal & Assam Company Ltd,,BENGALASM,BENGALASM,15.09466285,1.443590172,1.078352998,2302.4,2600.866559,24792,5.115687258,0,-0.001646553,10490.18
,,,,,BLS International Services Ltd,BLS International Services Ltd,Outsourced services,BLS,BLS,12.95943365,25.89694349,1.894632204,253.8,2596.049821,39778,51.77602356,0,0.183826257,497.03
,,,,,Nippon India Liquid Bees ETF,Nippon India Liquid Bees ETF,Debt,LIQUIDBEES,LIQUIDBEES,0.000200001,-0.001611725,-0.000234812,1000,2580.8388,,,,,
,,,,,Navneet Education Ltd,Navneet Education Ltd,Publishing,NAVNETEDUL,NAVNETEDUL,2.249973884,-10.5844771,0.805092291,112.55,2554.928388,34043,45.68082224,0,0,893.55
,,,,,RPSG Ventures Ltd,RPSG Ventures Ltd,Packaged Foods & Meats,RPSGVENT,RPSGVENT,,14.85561188,,961.9,2550.132432,41930,-26.64993658,0,0,5663.03
,,,,,Paushak Ltd,Paushak Ltd,,PAUSHAKLTD,PAUSHAKLTD,66.89262965,39.74564291,1.283608083,8273.45,2549.971607,11649,68.36385006,0,0,147.13
,,,,,R Systems International Ltd,R Systems International Ltd,IT Services & Consulting,RSYSTEMS,RSYSTEMS,28.01626044,56.75717633,0.316358184,212.65,2544.1446,15015,30.95442998,0,0,902.31
,,,,,Astec Lifesciences Ltd,Astec Lifesciences Ltd,Fertilizers & Agro Chemicals,ASTEC,ASTEC,25.72298476,29.93808754,0.502046251,1296.15,2539.035364,22817,39.0380591,0,-0.030638982,562.79
,,,,,Cosmo Films Ltd,Cosmo Films Ltd,Packaging,COSMOFILMS,COSMOFILMS,28.77147907,55.23767902,1.06490262,1424.1,2538.064202,28867,10.71365218,0,0,2322.92
,,,,,Man Infraconstruction Ltd,Man Infraconstruction Ltd,Construction & Engineering,MANINFRA,MANINFRA,16.81346804,21.4667204,1.603403539,101.9,2522.027751,35737,78.78874575,0,0.608228831,453.23
,,,,,Morepen Laboratories Ltd,Morepen Laboratories Ltd,Pharmaceuticals,MOREPENLAB,MOREPENLAB,16.47179932,27.96584436,1.465758765,56.05,2521.275868,230611,25.96844029,0,0,1200.13
,,,,,JBM Auto Ltd,JBM Auto Ltd,Auto Parts,JBMA,JBMA,19.56977826,12.35489967,1.36350409,528.4,2499.271393,20090,50.71573443,0,0,1994.01
,,,,,Kolte-Patil Developers Ltd,Kolte-Patil Developers Ltd,Real Estate,KOLTEPATIL,KOLTEPATIL,20.4840066,-0.881052014,1.76573565,327.9,2492.184571,44212,-451.4827122,0,0,708.46
,,,,,Thomas Cook (India) Ltd,Thomas Cook (India) Ltd,Tour & Travel Services,THOMASCOOK,THOMASCOOK,-1.899611182,-12.80713561,1.652413434,65.8,2491.856646,83895,-9.806212453,0,0,945.74
,,,,,Apar Industries Ltd,Apar Industries Ltd,Electrical Components & Equipments,APARINDS,APARINDS,2.688729055,0.405391884,0.798633267,647.95,2479.615168,30122,15.44931569,0,0.663729203,6410.28
,,,,,Arvind Ltd,Arvind Ltd,Apparel & Accessories,ARVIND,ARVIND,-4.751862434,-19.05914989,1.534241752,95.25,2467.316176,199832,-149.3532794,0.175727194,-2.443695955,5125.01
,,,,,India Glycols Ltd,India Glycols Ltd,Commodity Chemicals,INDIAGLYCO,INDIAGLYCO,43.48860259,15.16146101,1.294878073,795.6,2463.29694,36709,18.71663962,0,0,2355.38
,,,,,INEOS Styrolution India Ltd,INEOS Styrolution India Ltd,Commodity Chemicals,INEOSSTYRO,INEOSSTYRO,18.6840433,23.19476407,1.091257742,1399.6,2461.284075,19169,8.784025964,0,0,1644.53
,,,,,Usha Martin Ltd,Usha Martin Ltd,Iron & Steel,USHAMART,USHAMART,44.88756066,31.79240562,1.374124849,80.45,2451.64947,68330,16.38912675,26.40038219,-1.293299743,2130.59
,,,,,Amrutanjan Health Care Ltd,Amrutanjan Health Care Ltd,Pharmaceuticals,AMRUTANJAN,AMRUTANJAN,30.72311276,28.80841055,1.093692811,838.9,2450.696439,33717,40.05060367,0,0,344.16
,,,,,Borosil Ltd,Borosil Ltd,Housewares,BOROLTD,BOROLTD,,,,214.3,2445.580178,66830,58.08979045,0,-0.037022624,601.61
,,,,,Krsnaa Diagnostics Ltd,Krsnaa Diagnostics Ltd,Hospitals & Diagnostic Centres,KRSNAA,KRSNAA,,,,778.7,2444.932124,87313,13.22156675,0,,661.48
,,,,,Ahluwalia Contracts (India) Ltd,Ahluwalia Contracts (India) Ltd,Construction & Engineering,AHLUCONT,AHLUCONT,3.778305047,2.436403107,1.111545148,363.65,2436.002619,7389,31.55852597,15.81487667,0,2004.51
,,,,,Mrs. Bectors Food Specialities Ltd,Mrs. Bectors Food Specialities Ltd,FMCG - Foods,BECTORFOOD,BECTORFOOD,,,,414.2,2435.352563,128019,33.68865075,0,-0.043502859,890.95
,,,,,Confidence Petroleum India Ltd,Confidence Petroleum India Ltd,Oil & Gas - Storage & Transportation,CONFIPET,CONFIPET,,31.25447808,,85.6,2431.142061,59621,49.54436643,0.660183552,2.238950695,867.96
,,,,,Sarda Energy & Minerals Ltd,Sarda Energy & Minerals Ltd,Iron & Steel,SARDAEN,SARDAEN,25.05118458,12.02488629,1.377304079,664.2,2394.390189,24939,6.386913998,0,0,2343.27
,,,,,Goodyear India Ltd,Goodyear India Ltd,Tires & Rubber,GOODYEAR,GOODYEAR,,,,1033.65,2387.7315,36481,17.52334875,0,0,1814.29
,,,,,Agro Tech Foods Ltd,Agro Tech Foods Ltd,Packaged Foods & Meats,ATFL,ATFL,13.80882693,9.7115342,1.249701915,1003.35,2383.832777,17293,76.28264885,0,0,893.42
,,,,,Fairchem Organics Ltd,Fairchem Organics Ltd,Specialty Chemicals,FAIRCHEMOR,FAIRCHEMOR,,,,1822.65,2373.254703,12318,55.86757775,0,0.002227188,396.85
,,,,,Camlin Fine Sciences Ltd,Camlin Fine Sciences Ltd,Specialty Chemicals,CAMLINFINE,CAMLINFINE,16.22335414,44.00371993,1.452106126,185.45,2366.37438,41543,46.43591797,0,-0.020240082,1192.08
,,,,,Jai Corp Ltd,Jai Corp Ltd,Textiles,JAICORPLTD,JAICORPLTD,11.93054242,-9.304875759,1.821411506,130.8,2334.118283,85512,25.20918331,0,0,583.17
,,,,,Vesuvius India Ltd,Vesuvius India Ltd,Industrial Machinery,VESUVIUS,VESUVIUS,2.319568776,-5.567942423,0.784062998,1126.7,2286.759334,15224,43.10573673,0,0,812.49
,,,,,VST Tillers Tractors Ltd,VST Tillers Tractors Ltd,Tractors,VSTTILLERS,VSTTILLERS,6.990102198,8.528866662,1.536572111,2641.15,2281.828938,22687,25.13858034,0,0,810.32
,,,,,Anant Raj Ltd,Anant Raj Ltd,Real Estate,ANANTRAJ,ANANTRAJ,19.44827051,43.76321188,1.429496091,77.3,2281.09467,46703,214.5902794,0,0,269.62
,,,,,Authum Investment & Infrastructure Ltd,Authum Investment & Infrastructure Ltd,,AIIL,AIIL,134.9954423,172.9376599,-0.274447413,1340.65,2277.028333,3591,16.82823393,0,1.556568829,255.38
,,,,,Kirloskar Pneumatic Company Ltd,Kirloskar Pneumatic Company Ltd,,KIRLPNU,KIRLPNU,15.60925966,20.22757691,1.218002862,353.15,2272.798885,26365,35.60706385,0,-0.115218632,833.38
,,,,,Filatex India Ltd,Filatex India Ltd,Textiles,FILATEX,FILATEX,46.45048708,21.02827199,2.185148472,100.85,2271.800046,23454,13.7003983,21.99302869,-0.236778658,2236.6
,,,,,GTL Infrastructure Ltd,GTL Infrastructure Ltd,Telecom Infrastructure,GTLINFRA,GTLINFRA,-17.98257063,45.77389414,1.749298275,1.8,2270.178626,298511,-1.786459096,3.361842385,-0.0245144,1448.84
,,,,,LT Foods Ltd,LT Foods Ltd,Packaged Foods & Meats,DAAWAT,DAAWAT,21.26205435,15.64230436,1.185682212,70.95,2269.298714,136091,8.280903204,0,3.13E-06,4686.17
,,,,,Subros Ltd,Subros Ltd,Auto Parts,SUBROS,SUBROS,20.76619594,-4.490040001,1.362521474,346.4,2259.76638,27718,47.69452047,0,0,1806.64
784.25,-279.07,813.3,594.81,732.72,RattanIndia Power Ltd,RattanIndia Power Ltd,Power Generation,RTNPOWER,RTNPOWER,-13.94584256,20.40524032,1.283994592,4.2,2255.444461,293017,-2.395306402,39.19195451,4.861549747,2634.16
,,,,,DEN Networks Ltd,DEN Networks Ltd,Cable & D2H,DEN,DEN,-9.139430416,-8.617617069,1.092629658,47.25,2254.882668,74144,11.39059743,0,-11.62662943,1498.24
,,,,,I G Petrochemicals Ltd,I G Petrochemicals Ltd,Specialty Chemicals,IGPL,IGPL,30.23809417,19.83880398,1.876049672,731.8,2253.567123,39059,11.97941273,0,0,1126.95
,,,,,Matrimony.Com Ltd,Matrimony.Com Ltd,Online Services,MATRIMONY,MATRIMONY,,21.78918973,1.701536919,977.25,2236.552038,15460,54.87124726,0,-0.19792668,456.04
,,,,,Himadri Speciality Chemical Ltd,Himadri Speciality Chemical Ltd,Commodity Chemicals,HSCL,HSCL,5.308186251,-25.65515832,1.49667681,53.1,2224.705626,267135,46.84577019,0,-0.017082783,1693.51
,,,,,Gujarat Mineral Development Corporation Ltd,Gujarat Mineral Development Corporation Ltd,Mining - Diversified,GMDCLTD,GMDCLTD,-4.584709624,-19.33335869,1.44894037,69.95,2224.41,111843,-61.85789766,0,0,1498.22
,,,,,Greenply Industries Ltd,Greenply Industries Ltd,Wood Products,GREENPLY,GREENPLY,-7.867385388,-2.646743847,1.487488244,180.4,2212.198206,33189,36.31912996,0,0.027889364,1172.11
,,,,,Inox Wind Ltd,Inox Wind Ltd,Heavy Electrical Equipments,INOXWIND,INOXWIND,-13.60667666,10.54149648,1.613555624,99,2196.990437,47293,-7.18981064,0,-1.606632796,786.98
,,,,,S H Kelkar and Company Ltd,S H Kelkar and Company Ltd,Specialty Chemicals,SHK,SHK,-12.38382796,-18.60313381,0.93450606,158.95,2193.738443,44819,15.16059739,3.561400703,0.00068992,1366.71
,,,,,Garden Reach Shipbuilders & Engineers Ltd,Garden Reach Shipbuilders & Engineers Ltd,Shipbuilding,GRSE,GRSE,,17.56458884,,190.7,2184.50664,34322,14.23409552,0,0,1328.44
,,,,,Garware Hi-Tech Films Ltd,Garware Hi-Tech Films Ltd,,GARWARPOLY,GARWARPOLY,47.34703389,42.8635069,1.101525425,937.65,2178.385423,25949,17.29426344,0,0,1004.67
,,,,,Apollo Pipes Ltd,Apollo Pipes Ltd,Building Products - Pipes,APOLLOPIPE,APOLLOPIPE,,,,1666.35,2167.821702,15377,48.74795823,0,0,526.48
,,,,,Heritage Foods Ltd,Heritage Foods Ltd,FMCG - Foods,HERITGFOOD,HERITGFOOD,1.688270744,-7.4309462,1.117539588,466.65,2165.16267,30038,14.44019388,0,0,2481.14
,,,,,MSTC Ltd,MSTC Ltd,Commodities Trading,MSTCLTD,MSTCLTD,,34.19100772,,306.3,2156.352,42345,19.0912085,0,0,994.08
,,,,,Balmer Lawrie and Company Ltd,Balmer Lawrie and Company Ltd,Conglomerates,BALMLAWRIE,BALMLAWRIE,1.571074815,-5.966199773,0.915250112,125.25,2141.823171,85167,17.79957759,0,0,1578.24
,,,,,Va Tech Wabag Ltd,Va Tech Wabag Ltd,Water Management,WABAG,WABAG,-9.516065968,2.537665268,1.956379627,343.3,2134.997393,92532,19.38967753,0,0,2848.45
,,,,,Shriram Pistons & Rings Ltd,Shriram Pistons & Rings Ltd,Auto Parts,SHRIPISTON,SHRIPISTON,-6.612660048,-14.74931309,1.307001983,954,2134.566605,2225,24.0514547,0,0,1616.18
,,,,,Savita Oil Technologies Ltd,Savita Oil Technologies Ltd,Commodity Chemicals,SOTL,SOTL,18.09195908,8.878285405,0.963022881,1538.55,2126.28887,18169,9.49448033,0,0.058219998,1944.14
,,,,,Apcotex Industries Ltd,Apcotex Industries Ltd,Specialty Chemicals,APCOTEXIND,APCOTEXIND,20.61273071,16.75475853,1.242382994,408.4,2117.348166,29238,47.93634065,0,0.054007178,547.12
,,,,,Prime Focus Ltd,Prime Focus Ltd,Animation,PFOCUS,PFOCUS,-0.583697474,11.21933309,1.523018935,70.7,2115.690274,10602,-48.74862384,70.02447574,35.06775118,2610.28
,,,,,Hester Biosciences Ltd,Hester Biosciences Ltd,Biotechnology,HESTERBIO,HESTERBIO,26.87527737,20.96322451,1.235000943,2480.2,2109.872657,16108,61.29786918,0,0,219.01
,,,,,Maharashtra Seamless Ltd,Maharashtra Seamless Ltd,Building Products - Pipes,MAHSEAMLES,MAHSEAMLES,7.519652808,-20.34872511,1.292057557,313.9,2103.11826,30134,21.45163464,0,-0.047761461,2395.74
,,,,,Gabriel India Ltd,Gabriel India Ltd,Auto Parts,GABRIEL,GABRIEL,4.076082735,-7.623451816,1.515480843,146.35,2102.229062,80453,34.87440381,0,2.254979222,1719.15
,,,,,Ashiana Housing Ltd,Ashiana Housing Ltd,Real Estate,ASHIANA,ASHIANA,6.21412832,13.22076637,1.456294861,205,2098.21803,21464,1219.894203,0,0,259.31
,,,,,South Indian Bank Ltd,South Indian Bank Ltd,Private Banks,SOUTHBANK,SOUTHBANK,-13.45265388,-19.45034668,1.609594681,10,2092.741018,650882,33.80841709,0,0,8490.92
,,,,,ICICI Prudential Nifty 50 ETF,ICICI Prudential Nifty 50 ETF,Equity,ICICINIFTY,ICICINIFTY,16.49630798,2.017532156,0.983835281,190.32,2091.001514,,,,,
,,,,,Voltamp Transformers Ltd,Voltamp Transformers Ltd,Heavy Electrical Equipments,VOLTAMP,VOLTAMP,12.43692869,11.56931287,0.93047274,1445.7,2090.712645,18411,18.63048159,0,0,764.6
,,,,,Pilani Investment And Industries Corporation Ltd,Pilani Investment And Industries Corporation Ltd,Asset Management,PILANIINVS,PILANIINVS,13.27588817,-2.807853856,1.313514279,1887.95,2090.385439,12383,21.62840599,0,-2.17E-05,199.58
